标题	发现人	bug触发流程	bug触发结果
点击赛事管理再点击数据概览加载号会往下掉	唐人	管理员登陆后点击赛事管理再点击数据概览	加载号往下掉
手机端界面不适配	董赛	手机端打开登录	界面模块比例较拥挤，不适配
报名时间晚于比赛日期晚于比赛时间段也能提交赛事	李思很润	设置报名时间晚于比赛时间，提交赛事	提交成功
限定时间早于原时间也可转移赛程	董赛	设置限定时间早于原比赛时间，确定转移赛程	时间设置成功
在组织架构页调为深色时Excel导入规范看不清	董赛	在组织架构页面右上角浅色调为深色	Excel导入规范模糊
管理界面最外侧可滚动	zza	在左侧边栏滚动	页面上下轻微滚动
场地管理中场地状态与赛程不符合，占用信息也不符合	mfy	对比场地信息与场地管理信息	信息不符
场地可添加重名	zza	添加重名场地	添加成功
数据概览echarts重叠	zza	场地数目较多时	表格中柱状重叠
仅自己账号登陆后修改本账号的密码才会要求更新登录	董赛，马飞宇	修改账号的密码	登录本人账号时修改密码会要求重新登录，其他账号修改该账号的密码后该账户原登录状态不会改变
草稿赛事无法删除或取消	lbh	管理员创建赛事	创建赛事没有严肃提示不可删除，创建后没有删除方式，哪怕是草稿状态
学生端我的赛程不会显示自己报名的赛事	mfy	通过报名赛程，并且在赛程时间内仍然不会显示	没有信息显示
学生无法提交申诉	mfy		
创建综合赛事子项目500内部错误	zza	不选择所属综合赛事创建子项目	code:500服务器暂时无法处理请求
综合赛事创建后无法编辑(修改)	zza	创建综合赛事后	无法修改
500内部错误没有被操作日志截获	zza	发生500错误	日志无新增
单场时长小于 5 分钟无越界提示	刘荐宇	管理员设置 3 分钟单场时长后保存	无提示，设置失败无报错
手机号填文字无格式校验可保存	刘荐宇	管理员新建用户填文字手机号保存	无报错，文字内容成功保存
手机号非 11 位无长度校验可保存	刘荐宇	管理员新建用户填 5 位手机号保存	无报错，异常长度成功保存
未在报名时间段内，学生也可进行报名操作	lbh	学生参加未在报名时间段内的项目	
比赛时没有对手不能顺延致下一阶段		比赛时没有对手不能顺延致下一阶段	比赛会卡住
自己提交申诉之后看不到图片	lpy	自己提交申诉之后看不到图片	
赛事结束/归档后可更改裁判/撤回比分，与裁判端有冲突	lbh	在已结束和已归档赛事中，可进行赛程的裁判更改和比分撤回	更改裁判后，在裁判端的该赛事仍处于比赛中状态，但无法进行计分等操作
对用户信息进行编辑时无字符类型与长度的限制	hxl	管理员更改用户信息输入任意长度任意字符后都可以保存	无报错，内容成功保存
对组织架构的信息进行编辑时无字符类型与长度的限制	hxl	管理员更改组织架构信息时输入任意长度任意字符后都可以成功保存	无报错，内容成功保存
管理员可以对自己的账号进行禁用	hxl	管理员可以对自己账号进行禁用	被提出系统并无法再次登录
