FILE: 成员6_状态转换法_赛事状态转换分析.xlsx
SHEET: 状态转换分析
SHAPE: (36, 5)

    3.状态转换表            Unnamed: 1                        Unnamed: 2                      Unnamed: 3              Unnamed: 4
0       NaN                   NaN                               NaN                             NaN                     NaN
1      当前状态                    事件                              后继状态                            触发条件                      备注
2        草稿                  开放报名                               报名中  管理员已补全赛事名称、时间、地点、项目、报名规则等基础信息。      发布报名入口，学生开始可见并可报名。
3       报名中                  退回草稿                                草稿   报名期内发现基础信息需要调整，且调整前可安全撤回报名入口。  关闭报名入口；必要时通知已报名学生重新确认。
4       报名中                  编排赛程                               编排中         报名截止或管理员手动结束报名；参赛名单已确认。       冻结报名名单，进入赛程/裁判编排。
5       编排中                  退回报名                               报名中              赛程尚未开始，或报名人数不符合赛制。      撤销或重建未生效赛程，重新开放报名。
6       编排中                  开始比赛                               进行中   赛程已生成，比赛裁判已设置，比赛时间到达或管理员确认开始。       裁判和管理员开始录入各场比赛成绩。
7       进行中                  结束比赛                               已结束          所有赛程均已完成，成绩已录入并完成必要确认。        停止成绩录入入口，生成最终结果。
8       已结束                  赛事归档                               已归档         成绩、排名、申诉/复核和统计信息均已处理完成。      转入只读历史数据，禁止后续业务修改。
9       NaN                   NaN                               NaN                             NaN                     NaN
10      NaN                   NaN                               NaN                             NaN                     NaN
11  4.状态转换图                   NaN                               NaN                             NaN                     NaN
12      NaN                   NaN                               NaN                             NaN                     NaN
13      NaN                   NaN                               NaN                             NaN                     NaN
14      NaN                   NaN                               NaN                             NaN                     NaN
15      NaN                   NaN                               NaN                             NaN                     NaN
16      NaN                   NaN                               NaN                             NaN                     NaN
17      NaN                   NaN                               NaN                             NaN                     NaN
18      NaN                   NaN                               NaN                             NaN                     NaN
19      NaN                   NaN                               NaN                             NaN                     NaN
20      NaN                   NaN                               NaN                             NaN                     NaN
21      NaN                   NaN                               NaN                             NaN                     NaN
22      NaN                   NaN                               NaN                             NaN                     NaN
23      NaN                   NaN                               NaN                             NaN                     NaN
24      NaN                   NaN                               NaN                             NaN                     NaN
25      NaN                   NaN                               NaN                             NaN                     NaN
26      NaN                   NaN                               NaN                             NaN                     NaN
27      NaN                   NaN                               NaN                             NaN                     NaN
28      NaN                   NaN                               NaN                             NaN                     NaN
29      NaN                   NaN                               NaN                             NaN                     NaN
30  5.非法转化表                   NaN                               NaN                             NaN                     NaN
31      NaN                   NaN                               NaN                             NaN                     NaN
32       编号                  非法触发                              期望处理                             NaN                     NaN
33   非法转换 1   在【草稿】状态下触发【编排赛程】事件。       应拒绝；赛事尚未开放并完成报名，缺少可编排的参赛名单。                             NaN                     NaN
34   非法转换 2  在【已结束】状态下触发【编排赛程】事件。  应拒绝；已结束赛事不能再次编排赛程，只能对部分赛事信息进行更改。                             NaN                     NaN
35   非法转换 3   在【已归档】状态下触发【编排赛程】事件               应拒绝；归档数据必须保持只读和可追溯。                             NaN                     NaN
